ID_REGISTRO	QTD_FILMES_ACAO	QTD_FILMES_ANIMACAO	QTD_FILMES_AVENTURA	QTD_FILMES_COMEDIA	QTD_FILMES_DOCUMENTARIO	QTD_FILMES_DRAMA	QTD_FILMES_FICCAO	QTD_FILMES_MUSICAL	QTD_FILMES_ROMANCE	QTD_FILMES_SUSPENSE	QTD_FILMES_TERROR
1	2	8	1	7	1	1	0	5	11	1	0
2	2	5	5	3	1	1	1	3	5	7	5
3	0	0	0	1	9	14	0	0	2	0	0
4	29	0	1	1	0	0	1	0	0	1	0
5	41	0	2	2	0	0	5	0	0	1	0
6	3	2	0	5	0	0	0	3	18	0	0
7	2	0	0	0	0	1	0	1	0	17	5
8	1	2	0	10	0	0	0	2	12	0	0
9	26	0	1	0	0	0	0	0	0	0	0
10	4	6	1	17	1	1	1	2	9	0	1
11	25	0	0	0	0	0	3	0	0	1	0
12	4	3	3	4	1	2	0	3	0	1	4
13	16	0	6	2	0	0	4	0	1	2	0
14	21	0	0	1	0	0	2	0	0	0	0
15	1	0	0	0	0	1	1	0	0	14	4
16	29	0	3	1	0	0	3	0	0	1	0
17	1	0	0	1	8	20	0	0	2	0	0
18	1	2	4	4	0	4	4	1	4	3	3
19	0	36	0	1	0	0	0	1	1	0	0
20	28	1	2	2	0	0	14	1	1	5	0
21	1	0	0	0	0	1	0	0	0	31	11
22	1	1	3	2	1	1	3	0	5	4	4
23	1	1	0	9	0	0	0	8	18	0	0
24	24	0	3	0	0	0	4	0	0	1	0
25	0	2	0	11	0	0	0	2	9	0	0
26	27	0	7	2	0	0	6	0	0	2	0
27	7	4	7	7	0	3	7	1	5	4	6
28	0	0	0	9	0	0	0	2	12	0	0
29	1	0	0	1	7	19	0	0	1	0	0
30	1	0	1	0	0	3	2	0	0	21	23
31	7	0	5	2	1	1	20	1	1	3	1
32	0	1	8	4	1	6	6	1	10	1	5
33	2	0	0	2	18	10	1	1	2	1	1
34	6	1	5	2	0	12	8	4	0	1	9
35	24	0	1	0	0	0	2	0	0	2	0
36	4	0	0	1	0	4	3	1	0	29	10
37	1	1	0	12	0	0	0	2	11	0	0
38	2	3	1	6	0	0	0	11	31	1	1
39	0	56	1	3	0	0	0	1	1	0	0
40	1	2	4	4	1	1	4	3	1	3	5
41	16	0	7	3	1	0	2	0	1	3	0
42	2	1	0	9	0	0	0	4	10	0	0
43	1	1	4	0	1	8	2	2	2	8	5
44	22	0	3	3	0	0	0	1	1	1	0
45	2	5	1	24	0	0	0	13	4	0	0
46	13	2	20	9	2	1	0	2	2	7	1
47	4	1	1	1	1	5	7	7	6	4	4
48	5	5	4	1	1	2	4	5	3	3	3
49	38	0	0	1	0	0	3	0	0	2	0
50	16	0	2	2	0	0	1	0	0	0	0
51	1	0	0	0	0	1	2	0	0	34	3
52	38	1	10	5	1	1	8	1	1	1	1
53	1	2	5	5	1	4	3	1	0	4	2
54	2	0	0	0	0	1	1	0	0	30	0
55	1	1	0	15	0	0	0	4	6	0	0
56	3	0	0	0	0	0	0	0	0	8	16
57	0	19	0	1	0	0	0	0	0	0	0
58	0	2	0	23	0	0	0	3	11	0	0
59	19	0	4	3	0	0	5	0	1	1	1
60	31	0	1	3	0	0	0	0	0	3	0
61	2	0	0	1	19	30	0	0	2	0	0
62	8	1	5	4	0	0	0	0	0	4	1
63	1	3	0	20	0	0	0	5	14	0	0
64	6	6	0	6	0	4	0	4	1	4	2
65	3	0	0	0	5	40	0	0	1	0	0
66	6	1	0	4	17	13	1	1	6	1	1
67	41	0	0	1	0	0	1	0	0	2	0
68	40	0	8	1	1	1	10	0	1	4	0
69	23	0	3	0	0	0	6	0	0	0	0
70	0	4	1	22	1	1	1	8	15	1	1
71	1	0	0	0	0	1	1	0	0	22	9
72	4	2	13	5	0	2	21	0	1	10	2
73	2	0	0	0	0	1	3	0	0	35	7
74	4	0	0	1	1	1	1	0	1	15	1
75	3	1	1	0	6	28	1	1	2	1	1
76	0	5	0	2	0	1	0	9	39	1	0
77	0	0	0	0	0	0	0	0	0	14	8
78	2	2	4	0	2	2	2	20	26	2	4
79	2	0	0	2	6	16	0	0	0	0	0
80	1	0	0	1	6	22	0	0	0	0	0
81	21	0	3	1	0	0	6	0	0	2	0
82	0	33	0	0	0	0	0	0	0	0	0
83	11	0	4	1	1	1	7	0	0	3	0
84	7	1	1	4	1	1	12	0	0	3	0
85	35	0	1	2	0	0	1	0	0	1	0
86	31	0	9	1	1	0	1	0	0	3	0
87	2	2	0	8	0	0	0	8	16	0	0
88	27	0	2	0	0	0	5	0	0	2	0
89	0	40	0	1	0	0	0	0	0	0	0
90	17	0	2	0	0	0	2	0	0	2	0
91	7	0	4	1	0	0	8	0	0	3	0
92	0	2	3	2	0	1	1	3	4	3	3
93	20	0	1	1	0	0	2	0	0	2	0
94	18	0	2	1	0	0	4	0	0	1	0
95	34	0	1	1	0	0	2	0	0	1	0
96	20	0	2	0	0	0	2	0	0	1	0
97	2	1	0	11	0	0	0	5	7	0	0
98	1	2	0	20	0	0	0	5	15	0	0
99	4	1	1	25	1	1	0	9	40	1	0
100	2	2	0	16	0	0	0	0	10	0	0
101	53	1	19	0	1	1	4	0	1	2	1
102	0	0	0	1	1	27	0	0	0	0	0
103	0	28	1	1	0	0	0	0	0	0	0
104	18	0	3	1	0	0	3	0	0	1	0
105	28	0	3	0	0	0	1	0	0	0	0
106	3	0	8	0	0	0	7	0	0	2	0
107	26	0	1	1	0	0	4	0	0	1	0
108	32	0	2	0	0	0	2	0	0	1	0
109	0	0	0	1	2	31	0	0	1	0	0
110	0	4	0	0	0	2	5	1	3	4	6
111	1	1	0	8	1	0	1	3	9	1	0
112	11	8	3	2	2	12	12	13	2	6	10
113	7	0	2	3	0	0	10	0	0	0	0
114	45	1	6	1	0	1	2	0	1	4	1
115	1	4	4	2	1	0	3	5	4	5	2
116	0	30	1	3	0	0	0	0	0	0	0
117	0	2	0	17	0	0	0	5	15	0	0
118	1	1	0	4	0	0	0	6	14	1	0
119	1	0	0	0	0	1	1	0	0	18	9
120	46	1	1	2	1	1	6	0	0	1	1
121	1	5	1	20	1	1	1	18	5	1	1
122	5	4	1	3	0	3	4	1	3	3	2
123	27	0	2	2	0	0	2	0	0	1	0
124	0	0	0	0	4	17	0	0	0	0	0
125	21	0	2	1	0	0	1	0	0	0	0
126	13	0	7	1	0	0	5	0	0	2	0
127	56	0	6	1	0	0	2	0	0	0	0
128	3	3	1	2	0	6	4	6	6	4	4
129	1	0	0	1	13	10	0	0	1	0	0
130	54	0	4	2	0	0	7	0	0	1	0
131	3	3	0	1	0	0	0	7	21	0	0
132	10	1	16	5	0	1	14	1	1	4	1
133	15	0	5	2	0	0	5	0	0	2	0
134	1	6	2	0	0	2	5	4	6	4	0
135	23	0	6	2	0	0	7	0	0	0	0
136	2	0	0	1	0	0	4	1	0	25	18
137	1	0	0	0	0	1	1	0	0	34	4
138	2	0	0	1	13	35	0	0	1	0	0
139	1	2	0	16	0	0	0	3	16	0	0
140	4	4	0	4	1	3	5	4	3	2	3
141	0	17	1	3	0	0	0	1	1	0	0
142	0	0	0	0	12	45	0	0	1	0	0
143	1	0	0	0	0	2	2	0	0	42	8
144	0	1	0	15	0	0	0	2	15	0	0
145	2	0	0	1	6	24	0	0	1	0	0
146	31	0	7	0	0	0	2	0	0	1	0
147	0	49	1	2	0	0	0	1	1	0	0
148	1	0	0	2	9	26	0	0	1	0	0
149	3	8	2	4	0	2	1	0	8	8	5
150	1	0	0	0	0	0	0	0	0	13	9
151	2	2	0	16	0	1	0	5	15	1	1
152	31	0	8	1	0	0	5	1	0	2	0
153	26	0	4	0	0	0	2	0	0	0	0
154	18	0	2	0	0	0	2	0	0	0	0
155	13	0	3	2	0	0	3	0	0	1	0
156	37	1	4	3	0	0	3	0	1	1	1
157	23	0	1	0	0	0	2	0	0	1	0
158	15	0	5	3	1	0	2	0	0	0	0
159	9	2	6	4	1	2	11	5	10	8	9
160	3	6	7	4	1	10	2	6	2	2	8
161	32	0	2	2	0	0	1	0	0	0	0
162	25	0	5	2	0	0	1	0	0	2	0
163	36	0	1	1	0	0	2	0	0	1	0
164	2	0	0	1	0	1	0	0	0	31	10
165	0	0	0	1	4	23	0	0	0	0	0
166	7	9	4	6	1	4	8	11	9	10	3
167	0	0	0	1	6	26	0	0	1	0	0
168	39	0	7	1	0	0	1	0	0	2	0
169	41	0	1	0	0	0	2	0	0	1	0
170	5	0	0	0	1	3	2	0	1	6	34
171	24	0	0	1	0	0	3	0	0	0	0
172	1	8	4	0	0	2	5	1	8	5	5
173	40	0	4	2	0	0	5	0	0	2	0
174	13	1	0	3	0	0	9	1	1	0	0
175	0	1	0	11	0	0	0	3	5	0	0
176	25	0	9	2	0	0	2	0	0	1	0
177	79	0	4	1	1	0	3	0	0	3	1
178	5	5	3	5	0	3	1	0	1	6	6
179	40	0	5	1	0	0	6	0	0	1	0
180	5	1	1	1	1	1	3	0	1	17	29
181	1	0	0	0	0	1	1	0	0	17	10
182	0	33	1	0	0	0	0	1	0	0	0
183	8	0	3	3	0	0	8	0	0	1	0
184	45	0	4	1	0	0	4	0	0	2	0
185	1	1	0	0	0	1	1	0	0	33	7
186	2	1	0	1	6	23	0	0	2	0	0
187	4	1	6	5	1	7	3	1	2	2	1
188	20	0	4	1	0	0	6	0	0	2	0
189	4	2	5	3	1	0	1	4	1	6	6
190	18	0	1	1	0	0	2	0	0	0	0
191	7	0	15	5	0	1	0	0	1	0	1
192	2	1	0	12	0	0	0	2	6	0	0
193	3	1	4	1	0	2	4	3	3	7	3
194	12	0	6	2	0	0	2	0	0	2	0
195	0	0	0	2	0	1	1	0	34	0	1
196	0	34	1	0	0	0	0	0	1	0	0
197	1	5	4	5	0	2	4	5	4	2	5
198	2	3	4	2	1	5	2	3	5	4	2
199	1	3	3	4	0	1	3	2	2	3	3
200	6	3	0	3	0	2	3	0	0	4	4
201	1	0	0	0	0	1	1	0	0	11	14
202	2	2	0	4	0	0	0	6	9	0	0
203	1	0	0	0	0	0	1	0	0	34	9
204	3	4	2	7	2	13	6	3	15	7	4
205	59	0	5	4	0	0	1	1	1	3	1
206	1	0	0	1	5	24	0	0	1	0	0
207	1	1	0	9	0	0	0	2	11	0	0
208	2	1	0	9	0	0	0	7	18	0	0
209	2	0	0	0	0	2	1	0	0	9	11
210	0	0	0	0	0	2	2	0	0	21	21
211	1	1	0	8	0	0	0	5	9	0	0
212	2	3	0	6	1	0	0	3	13	0	0
213	23	0	1	1	0	0	3	0	0	0	0
214	18	0	3	0	0	0	1	0	0	1	0
215	1	1	0	2	2	17	1	1	0	1	1
216	0	26	0	1	0	0	0	0	1	0	0
217	18	0	6	2	0	0	6	0	0	0	0
218	0	0	0	3	4	40	0	0	2	0	1
219	0	0	0	0	0	1	1	0	0	19	11
220	11	1	7	2	0	1	10	0	1	7	1
221	2	3	2	1	0	6	1	4	2	3	0
222	51	0	1	0	0	0	1	0	0	2	0
223	1	0	0	2	2	36	0	0	1	0	0
224	5	0	9	4	1	1	6	0	1	2	1
225	5	5	1	12	0	0	1	15	1	1	0
226	2	3	0	11	0	0	1	5	11	0	1
227	17	1	4	4	0	1	6	0	0	3	0
228	47	1	3	3	1	0	5	0	0	3	0
229	13	1	5	7	1	1	4	1	1	2	1
230	12	0	11	1	0	0	8	1	0	2	0
231	0	1	0	16	0	0	0	4	15	0	0
232	26	0	1	2	0	0	5	0	0	2	0
233	1	0	1	1	0	0	2	1	0	37	8
234	2	1	0	8	0	0	0	1	8	0	0
235	3	2	1	8	1	9	6	5	1	4	1
236	24	0	1	2	0	0	3	0	0	1	0
237	2	0	0	0	0	1	1	0	0	21	6
238	26	0	0	1	0	0	5	0	0	1	0
239	21	0	2	0	0	0	2	0	0	0	0
240	36	0	3	0	0	0	2	0	0	1	0
241	0	1	0	12	0	0	0	1	7	0	0
242	4	0	0	4	10	15	0	1	4	0	0
243	0	0	0	0	0	0	0	0	0	30	4
244	2	1	1	24	0	1	1	1	1	0	1
245	2	3	0	18	0	1	1	11	5	0	0
246	22	0	3	1	0	0	2	0	0	1	0
247	27	0	0	1	0	0	1	0	0	1	0
248	2	0	0	0	0	1	0	0	0	34	6
249	1	0	0	0	0	0	0	0	0	19	7
250	22	0	5	2	0	0	5	0	0	2	0
251	18	0	3	2	0	0	6	0	0	0	0
252	1	0	0	1	11	21	0	0	0	0	0
253	18	0	9	1	1	0	14	1	1	1	1
254	2	3	0	14	1	0	1	6	14	0	0
255	40	0	6	3	0	1	1	1	0	4	1
256	1	1	5	4	0	1	22	1	1	1	0
257	34	0	5	1	0	0	4	0	0	1	0
258	3	3	1	16	0	1	1	4	5	1	0
259	0	0	0	1	6	63	0	0	3	0	0
260	3	3	4	2	1	6	2	4	6	5	6
261	24	0	5	1	0	0	0	0	0	1	0
262	1	1	0	11	0	0	0	4	10	0	0
263	0	2	0	13	0	0	0	6	22	0	0
264	22	0	5	6	0	0	16	0	1	2	0
265	1	3	0	9	0	0	0	8	4	0	0
266	36	0	5	2	0	0	5	0	0	2	0
267	0	0	0	0	0	1	0	0	0	19	8
268	1	0	0	0	0	1	1	0	0	22	3
269	40	0	3	2	0	0	0	0	0	0	0
270	1	0	0	0	3	19	0	0	1	0	0
271	3	3	1	3	0	1	1	3	5	5	3
272	1	0	0	0	0	1	2	0	0	40	2
273	5	1	1	1	1	0	7	1	0	6	25
274	0	0	0	0	2	20	0	0	2	0	0
275	19	0	1	1	0	0	3	0	0	1	0
276	0	0	0	0	0	1	1	0	0	20	6
277	3	4	2	2	1	3	1	1	2	4	4
278	3	1	1	0	0	1	2	0	1	57	3
279	2	1	3	0	1	4	7	5	7	5	1
280	3	1	1	11	0	1	1	7	19	1	0
281	1	0	0	1	9	16	0	0	1	0	0
282	0	0	0	1	8	14	0	0	0	0	0
283	10	1	7	3	0	0	8	0	0	5	1
284	4	6	0	6	1	1	0	6	32	0	1
285	0	0	0	0	0	0	0	0	0	21	19
286	22	0	1	1	0	0	3	0	0	0	0
287	2	1	1	3	4	51	0	0	2	0	0
288	3	4	0	4	1	3	4	2	2	3	4
289	1	1	2	5	0	0	5	1	2	4	3
290	16	0	2	2	0	0	3	0	0	2	0
291	23	0	2	0	0	0	1	0	0	0	0
292	16	0	4	1	0	0	3	0	0	1	0
293	10	1	4	4	0	0	4	0	1	5	1
294	3	3	3	1	1	5	1	1	0	4	3
295	2	1	0	8	0	0	0	4	10	0	0
296	1	0	0	0	0	2	1	0	0	24	11
297	1	0	0	1	0	2	3	0	0	17	13
298	1	1	0	11	0	0	0	5	11	0	0
299	3	9	2	12	2	6	9	4	4	9	6
300	18	0	6	3	0	1	9	0	0	4	0
301	0	0	1	0	0	3	1	0	0	38	8
302	1	0	0	0	0	1	0	0	0	27	8
303	21	0	3	1	0	0	2	0	0	1	0
304	0	16	2	5	0	0	0	2	2	0	0
305	39	0	1	0	0	0	1	0	0	0	0
306	1	0	0	0	0	1	0	0	0	11	10
307	21	0	9	3	1	1	7	0	0	3	0
308	36	0	5	2	0	0	0	0	0	1	0
309	32	0	1	1	0	0	4	0	0	2	0
310	2	0	0	0	0	1	1	0	0	28	19
311	0	12	1	4	0	0	0	2	1	0	0
312	42	1	8	1	0	1	5	0	0	1	1
313	32	0	3	0	0	0	3	0	0	0	0
314	1	0	0	0	0	1	1	0	0	20	9
315	10	2	6	7	2	2	7	1	1	5	1
316	67	0	4	3	0	1	1	1	0	2	0
317	0	5	0	39	0	0	1	4	1	1	0
318	29	0	1	0	0	0	4	0	0	0	0
319	5	1	1	7	50	5	1	0	7	1	1
320	2	0	0	1	5	15	0	0	2	0	0
321	0	44	0	2	0	0	0	0	0	0	0
322	20	1	3	5	0	1	0	0	0	2	0
323	5	5	5	3	1	6	5	2	6	4	3
324	2	0	1	1	1	7	6	7	7	5	9
325	1	0	0	0	0	2	1	0	0	49	0
326	0	0	0	1	4	30	0	0	0	0	0
327	2	2	0	14	0	0	0	1	4	0	0
328	1	0	0	0	8	24	0	0	1	0	0
329	25	0	3	4	1	0	8	1	0	4	0
330	0	0	0	2	5	17	0	0	3	0	0
331	30	0	5	1	0	0	4	0	0	2	0
332	0	1	1	3	0	0	0	9	26	0	0
333	0	38	1	1	0	0	0	1	1	0	0
